OBJECTID,station_co,station_na,COMID,GNIS_NAME,ATTRIBUTE
187,GVWSJ2,San Jose Creek at North Patterson Avenue,17596109,San Jose Creek,R4SBC
188,GVWSP3,San Pedro Creek at Cathedral Oaks Road,17596097,San Pedro Creek,PFOC
189,GVWSP1,San Pedro Creek near Hollister Avenue,17595383,San Pedro Creek,R4SBCx
190,GVWTC2,Tecolote Creek at Vereda del Padre,17595353, ,R3UBH
191,GVWTC1,Tecolote Creek Lagoon,17596215, ,E1UBL
192,GVWDV25,Tributary of El Encanto Creek (Phelps Ditch) at Evergreen Frisbee Course,17595413, ,PFOC
193,307PS0028,Carmel River,17600701,Carmel River,R3UBH
194,304PS0018,Lompico Creek,17682662,Lompico Creek,R3UBH
195,305PS0034,Pajaro River,17663227,Pajaro River,R2USA
196,309PS0040,Salinas River PS0040,948060378,Salinas River,R4SBC
197,304PS0006,Valencia Creek,17684370,Valencia Creek,
198,307PS0044,Carmel River ~0.5mi below Paso Del Rio Rd.,17599355,Carmel River,R3UBH
199,305PS0061,Llagas Creek below E San Martin Ave.,17661321,Llagas Creek,
200,309PS0043,Nacimiento River ~2.5mi above Avery Rd.,8212889, ,R2UBG
201,305PS0057,Pajaro River above Millers Canal,17662993,Pajaro River,PFOA
202,312PS0099,Manzana Creek ~1.1mi below Davy Brown Cr.,17626291,Manzana Creek,R3UBF
203,309PS0072,Salinas River ~1.1mi above Hwy 101,948060165,Salinas River,R4SBC
204,309PS0116,San Antonio River ~0.5mi above Bear Cyn. Cr.,8204319,San Antonio River,R4SBC
205,304PS0146,Arana Gulch at Soquel Ave.,17684382, ,
206,304PS0194,East Waddell Creek ~0.7mi below Opal Cr.,17682654,East Waddell Creek,PFOC
207,308PS0156,Skinner Creek ~0.2mi above Little Sur River,8188801,Skinner Creek,R3UBH
208,308PS0204,Big Sur River ~1mi above Pfeiffer Redwood Cr.,8188943,Big Sur River,R3UBH
